Job Title,Regular Hours,Overtime Hours,Hourly Rate,Regular Pay,Overtime Pay,Total Pay,Net Sales,Declared Tips,Non-Cash Tips,Total Tips,Tips Withheld,Total Gratuity,Employee ID,Job Code,Location,Location Code
Server,24.565082500000003,0,27,663.25,0,663.25,5314.8,0,0,0,0,0,3056,,Berkeley,
Runner,136.42434777777777,0,23,3137.78,0,3137.78,0,0,0,0,0,0,3056,,Berkeley,
FOH Training,1.201693611111111,0,19.18,23.05,0,23.05,0,,0,0,0,0,3056,,Berkeley,
Porter,294.6514152777778,0,21,6187.68,0,6187.68,0,,0,0,0,0,3098,,Berkeley,
CNDB Line Cook,106.7273352777778,0,19.18,2115.12,0,2115.12,0,0,0,0,0,0,3229,,Berkeley,
Bartender,233.62448222222213,40.82448777777777,0,0,0,0,57641.86,0,0,0,0,0,111,,Berkeley,
Bartender,260.54059527777787,24.909429722222217,0,0,0,0,135248.5,0,0,0,0,0,222,,Berkeley,
Line Cook,179.67864194444442,0,21,3773.25,0,3773.25,0,,0,0,0,0,2971,,Berkeley,
Shift Supervisor,118.393555,0,26,3078.21,0,3078.21,13.51,0,0,0,0,0,2904,,Berkeley,
Shift Supervisor,269.60402916666663,2.736942222222222,25,6740.08,102.62,6842.7,17.54,0,0,0,0,0,3107,,Berkeley,
Cashier POS Access,344,253.43488805555546,0,0,0,0,375309.51,0,0,0,0,0,333,,Berkeley,
CNDB Prep Cook,303.83397777777776,1.061610277777774,22,6684.38,35.03,6719.41,0,0,0,0,0,0,2878,,Berkeley,
CNDB Lead Prep,319.05613583333326,7.160504444444446,27,8614.53,290,8904.53,0,,0,0,0,0,314,,Berkeley,
CNDB Line Cook OG,299.3186849999999,0,23.5,7033.95,0,7033.95,0,,0,0,0,0,2595,,Berkeley,
FOH Training,12.673703055555556,0,19.18,243.08,0,243.08,0,0,0,0,0,0,,,Berkeley,
Bar Back,51.78475388888889,0,24,1242.83,0,1242.83,0,0,0,0,0,0,3173,,Berkeley,
Server,34.61411861111111,0,39,1349.95,0,1349.95,9073.2,0,0,0,0,0,3228,,Berkeley,
Server,70.54395499999998,0,36,2597.34,0,2597.34,20764.2,0,0,0,0,0,3115,,Berkeley,
Abajo Server,52.45683888888888,0,41,2204.11,0,2204.11,18648.24,0,0,0,0,0,3115,,Berkeley,
Line Cook,261.9862830555555,0,20,5239.73,0,5239.73,0,0,0,0,0,0,3224,,Berkeley,
Server Trainer,8.383355555555555,0,38,318.57,0,318.57,1555.8,0,0,0,0,0,3158,,Berkeley,
Server,139.60974194444444,0,36,5025.97,0,5025.97,40017.39,0,0,0,0,0,3158,,Berkeley,
Runner,4.235800555555556,0,25,105.9,0,105.9,0,0,0,0,0,0,3158,,Berkeley,
EVENT STAFF,0.001740278,0,39,0.07,0,0.07,0,0,0,0,0,0,3158,,Berkeley,
Abajo Server,12.865269166666668,0,41,527.48,0,527.48,4801.2,0,0,0,0,0,3158,,Berkeley,
Server,81.21821111,0,30,2436.58,0,2436.58,22428.94,0,0,0,0,0,3219,,Berkeley,
Lead Bartender,129.6077261111111,0,49,6350.78,0,6350.78,0,0,0,0,0,0,2975,,Berkeley,
Bartender,5.593255,0,44,246.1,0,246.1,0,0,0,0,0,0,2975,,Berkeley,
Prep Cook,62.67785666666666,0.6430352777777779,21,1316.24,20.25,1336.49,0,,0,0,0,0,2985,,Berkeley,
Porter,48.33140916666667,0,20,966.62,0,966.62,0,,0,0,0,0,2985,,Berkeley,
Server,62.85304805555556,0,38,2388.42,0,2388.42,17223.6,0,0,0,0,0,2907,,Berkeley,
CNDB Prep Cook,314.0174844444445,1.138250277777779,22,6908.35,37.58,6945.93,0,0,0,0,0,0,3054,,Berkeley,
Host,66.08233416666667,0,20,1321.65,0,1321.65,0,,0,0,0,0,3171,,Berkeley,
Busser,217.92840277777782,0,25,5448.22,0,5448.22,0,0,0,0,0,0,3011,,Berkeley,
CNDB Line Cook,285.2889825,0,20,5705.76,0,5705.76,0,,0,0,0,0,3216,,Berkeley,
Shift Supervisor,75.84316333333334,1.870145833333335,22,1668.54,61.7,1730.24,0,0,0,0,0,0,3208,,Berkeley,
Cashier,138.29849194444444,0,20,2765.97,0,2765.97,0,0,0,0,0,0,3208,Cashier,Berkeley,
Porter,103.95930722222221,0,21,2183.15,0,2183.15,0,0,0,0,0,0,3042,,Berkeley,
Busser,124.96694555555554,0,22,2749.26,0,2749.26,0,0,0,0,0,0,3042,,Berkeley,
Bartender,173.30061805555556,0,32,5545.6,0,5545.6,0,0,0,0,0,0,3111,,Berkeley,
Bar Back,5.244968888888889,0,27,141.61,0,141.61,0,0,0,0,0,0,3111,,Berkeley,
Line Cook,258.6151255555556,0,24,6206.79,0,6206.79,0,0,0,0,0,0,2659,,Berkeley,
Dishwasher,199.83375055555555,0,19.5,3896.74,0,3896.74,0,0,0,0,0,0,3223,,Berkeley,
CNDB Lead Line Cook,147.78978194444446,0,24.5,3620.86,0,3620.86,0,,0,0,0,0,2872,,Berkeley,
Runner,38.869416666666666,0,21,816.26,0,816.26,0,0,0,0,0,0,3184,,Berkeley,
Host,91.00738111,0,21,1911.14,0,1911.14,0,0,0,0,0,0,3184,,Berkeley,
Cashier,72.95889666666667,0.175754722,21,1532.14,5.54,1537.68,0,0,0,0,0,0,3184,Cashier,Berkeley,
CNDB Line Cook,35.65765277777778,0,20,713.15,0,713.15,0,,0,0,0,0,3226,,Berkeley,
Server,46.30769166666666,0,35,1620.76,0,1620.76,16243.44,0,0,0,0,0,3175,,Berkeley,
Bartender,12.101949999999999,0,40,484.08,0,484.08,0,0,0,0,0,0,3175,,Berkeley,
CNDB Lead Line Cook,298.5248063888889,2.414211944444445,24.5,7313.88,88.72,7402.6,0,,0,0,0,0,2988,,Berkeley,
CNDB Line Cook,181.5476186111111,4.790445555555555,23,4175.62,173.35,4348.97,0,,0,0,0,0,3095,,Berkeley,
Prep Cook,271.84653,2.0554980555555558,19.5,5385.77,62.32,5448.09,0,,0,0,0,0,3220,,Berkeley,
Cashier,8.858274166666668,0,20,177.17,0,177.17,0,0,0,0,0,0,3201,Cashier,Berkeley,
Server Trainer,18.70028138888889,0,43,804.12,0,804.12,6001.8,0,0,0,0,0,3025,,Berkeley,
Server,141.3581638888889,0,41,5795.69,0,5795.69,40777.1,0,0,0,0,0,3025,,Berkeley,
Line Cook,244.49348722222229,0,23,5623.36,0,5623.36,0,,0,0,0,0,3150,,Berkeley,
Bartender,134.64072583333336,0,30,4039.24,0,4039.24,0,0,0,0,0,0,3170,,Berkeley,
Bar Back,101.27466361111114,0,27,2734.43,0,2734.43,0,0,0,0,0,0,3170,,Berkeley,
Cashier,156.12957888888891,0,21,3278.73,0,3278.73,12.08,0,0,0,0,0,3145,Cashier,Berkeley,
Host,9.474221666666665,0,21,198.95,0,198.95,0,0,0,0,0,0,3103,,Berkeley,
Bar Back,154.60626527777777,0,24,3710.58,0,3710.58,0,0,0,0,0,0,3103,,Berkeley,
Dishwasher,201.06642000000008,0,19.5,3920.79,0,3920.79,0,0,0,0,0,0,3177,,Berkeley,
Prep Cook OG,323.37221444444447,3.344252222222218,22.5,7275.85,112.88,7388.73,0,0,0,0,0,0,328,,Berkeley,
Prep Cook,298.5645013888889,5.175171388888886,23,6866.99,178.54,7045.53,0,,0,0,0,0,2691,,Berkeley,
Shift Supervisor,48,0.845221944,23,1104,29.16,1133.16,0,0,0,0,0,0,3065,,Berkeley,
Cashier,80.50912305555555,0.968643056,22,1771.21,31.96,1803.17,0,0,0,0,0,0,3065,Cashier,Berkeley,
Bar Back,34.874319722222225,0,24,836.98,0,836.98,0,0,0,0,0,0,3065,,Berkeley,
Line Cook,263.14033416666666,0,24,6315.37,0,6315.37,0,0,0,0,0,0,2999,,Berkeley,
Host,80.01499805555557,0,20,1600.29,0,1600.29,61.2,0,0,0,0,0,3217,,Berkeley,
FOH Training,1.7887163888888888,0,19.18,34.31,0,34.31,0,0,0,0,0,0,3217,,Berkeley,
Bar Back,42.13245222222222,0,22,926.91,0,926.91,0,0,0,0,0,0,3217,,Berkeley,
Line Cook,97.19445277777776,0,23,2235.47,0,2235.47,0,0,0,0,0,0,3070,,Berkeley,
Busser,334.03776305555544,0.9327680555555584,28,9353.06,39.18,9392.24,0,0,0,0,0,0,346,,Berkeley,
Dishwasher,264.40817027777774,0,20,5288.14,0,5288.14,0,,0,0,0,0,2871,,Berkeley,
Lead Bartender,215.35484499999998,0,49,10552.35,0,10552.35,0,0,0,0,0,0,3043,,Berkeley,
Prep Cook,314.81333611111114,4.508173333333331,22,6925.88,148.76,7074.64,0,0,0,0,0,0,3163,,Berkeley,
Server Trainer,11.456969722222222,0,40,458.28,0,458.28,4467.6,0,0,0,0,0,3188,,Berkeley,
Server,105.1057438888889,0,38,3994.02,0,3994.02,28721.56,0,0,0,0,0,3188,,Berkeley,
Abajo Server,19.11725222222222,0,43,822.04,0,822.04,4931.85,0,0,0,0,0,3188,,Berkeley,
Runner,23.095868888888887,0,20,461.92,0,461.92,0,0,0,0,0,0,3227,,Berkeley,
FOH Training,3.5,0,19.18,67.13,0,67.13,0,,0,0,0,0,3227,,Berkeley,
Host,120.5577025,0,20,2411.15,0,2411.15,0,0,0,0,0,0,3218,,Berkeley,
FOH Training,4.448666666666667,0,19.18,85.33,0,85.33,0,,0,0,0,0,3218,,Berkeley,
Cashier,48.635575555555555,0,20,972.71,0,972.71,0,0,0,0,0,0,3218,Cashier,Berkeley,
Bartender,89.88670888888889,0.064284722,42,3775.24,4.05,3779.29,0,0,0,0,0,0,2890,,Berkeley,
Server,146.72349999999997,0,36,5282.05,0,5282.05,42829.68,0,0,0,0,0,3231,,Berkeley,
FOH Training,21.569464166666666,0,19.18,413.69,0,413.69,0,0,0,0,0,0,3231,,Berkeley,
Bar Back,216.09860972222225,0,23,4970.25,0,4970.25,0,0,0,0,0,0,3206,,Berkeley,
Runner,87.20403694444444,0,20,1744.08,0,1744.08,0,,0,0,0,0,3225,,Berkeley,
Server,107.93411444444445,0,35,3777.69,0,3777.69,28521.9,0,0,0,0,0,3198,,Berkeley,
Bartender,100.83365583333335,0,42,4235.02,0,4235.02,0,0,0,0,0,0,2987,,Berkeley,
Bartender,174.5912033333333,0,35,6110.7,0,6110.7,8.25,0,0,0,0,0,3076,,Berkeley,
Server,42.633088888888885,0,19.18,1425.14,0,1425.14,12252.66,0,0,0,0,0,,,Berkeley,
FOH Training,24.027161944444444,0,19.18,460.84,0,460.84,0,0,0,0,0,0,,,Berkeley,
Line Cook,259.58172277777777,0,20,5191.62,0,5191.62,0,0,0,0,0,0,3230,,Berkeley,
Prep Cook,256.10765222222216,1.937239722222224,22,5634.38,63.93,5698.31,0,,0,0,0,0,2937,,Berkeley,
Line Cook,216.65894722222225,0,26,5633.11,0,5633.11,0,,0,0,0,0,2942,,Berkeley,
Lead Line Cook,169.87549944444447,2.764683888888889,24.5,4161.94,101.6,4263.54,0,,0,0,0,0,3221,,Berkeley,
CNDB Line Cook,46.207575000000006,0,23.5,1085.88,0,1085.88,0,,0,0,0,0,3221,,Berkeley,
CNDB Line Cook,247.24669277777775,0,24,5933.89,0,5933.89,0,,0,0,0,0,3031,,Berkeley,
Server Trainer,16.997915555555554,0,41,696.91,0,696.91,4125,0,0,0,0,0,3005,,Berkeley,
Server,174.9795277777778,0,39,6839.41,0,6839.41,45084.74,0,0,0,0,0,3005,,Berkeley,
Floor Supervisor,65.28064638888888,0,39,2552.27,0,2552.27,0,0,0,0,0,0,3005,,Berkeley,
EVENT STAFF,4.6416055555555555,0,43,199.59,0,199.59,45.6,0,0,0,0,0,3005,,Berkeley,
CNDB Line Cook,288.86056,0,21,6066.08,0,6066.08,0,,0,0,0,0,2877,,Berkeley,
Server,205.17795777777775,0,37,7591.54,0,7591.54,66729.21,0,0,0,0,0,3191,,Berkeley,
Prep Cook,307.2102316666667,0.221583889,22,6758.65,7.31,6765.96,0,,0,0,0,0,2844,,Berkeley,
Porter,306.4406597222222,2.021415277777776,20,6128.77,60.64,6189.41,0,0,0,0,0,0,3222,,Berkeley,
Line Cook,240.5960711111111,0,22.5,5413.38,0,5413.38,0,,0,0,0,0,3205,,Berkeley,
Line Cook,213.96377138888886,0,22.5,4814.21,0,4814.21,0,0,0,0,0,0,3144,,Berkeley,